HDFC.NS,TCS.NS,RELIANCE.NS,SBIN.NS,TATAMOTORS.NS
400020,400001,400021,400021,400018
Financial Services,Technology,Energy,Financial Services,Consumer Cyclical
3599,592195,236334,244250,
"Housing Development Finance Corporation Limited provides housing finance to individuals and corporate customers in India. It operates through Loans, Life Insurance, General Insurance, Asset Management, and Others segments. The company accepts fixed deposits, such as monthly income plans, non-cumulative interest plans, annual income plans, and cumulative options; and trust deposits. It offers loans for the purchase and construction of houses; home renovation and extension, plot, and top-up loans; loans to agriculturists, planters, horticulturists, and dairy farmers; loans for the salaried/self-employed individuals; loans for non-resident Indians; loans against property; and commercial property and plots loans, as well as education loans. In addition, the company provides cross-selling products and services; investment advisory services; life insurance products; general insurance products, including motor, health, travel, crop, home, personal accident, property, marine, aviation, and liability insurance; venture capital funds; asset management services comprising portfolio management, mutual fund, and property investment management; and other services consisting of project management and investment consultancy services. As of March 31, 2022, it operated through a network of 672 offices; and 3 offices in Dubai, London, and Singapore. The company was incorporated in 1977 and is based in Mumbai, India.","Tata Consultancy Services Limited provides information technology (IT) and IT enabled services worldwide. The company operates through Banking, Financial Services and Insurance; Manufacturing; Retail and Consumer Business; Communication, Media and Technology; Life Sciences and Healthcare; and Others segments. It offers CHROMA, a cloud-based talent management solution; ignio, a cognitive automation software; TCS iON, an assessment platform; TAP, a procurement offering; TCS MasterCraft, a platform to automate and manage IT processes; Quartz, a blockchain solution; and TCS OmniStore, a commerce platform. The company also provides customer intelligence and insight solutions; Intelligent Urban Exchange, a smart city solution; OPTUMERA, a merchandise optimization platform; TwinX, an AI powered system of actionable intelligence for business leaders to simulate and optimize enterprise decisions; TCS BaNCS, a financial platform; and Jile, an agile DevOps platform. In addition, it offers drug development and connected intelligent platforms; ERP on cloud, an enterprise solution; and HOBS, a platform for subscription based digital business. Further, the company provides cognitive business, consulting, analytics and insights, automation and artificial intelligence, Internet of Things, cloud, blockchain, cyber security, interactive, digital and quality engineering, sustainability, and enterprise application services. It serves banking, financial, and public services; capital market; consumer goods and distribution; education; insurance; life sciences and healthcare; manufacturing, retail; hi-tech; travel, transportation, and hospitality industries; communications, media, and technology industries; and energy, resource, and utility industries. The company was founded in 1968 and is headquartered in Mumbai, India. Tata Consultancy Services Limited is a subsidiary of Tata Sons Private Limited.","Reliance Industries Limited engages in hydrocarbon exploration and production, petroleum refining and marketing, petrochemicals, textile, retail, digital, and financial services businesses worldwide. The company produces and markets petroleum products, such as liquefied petroleum gas, propylene, naphtha, gasoline, jet/aviation turbine fuel, kerosene oil, diesel, Sulphur, and petroleum coke. It also provides petrochemicals, including high-density and low-density polyethylene (PE), linear low density PE, polyester fibers and yarns, polypropylene, polyvinyl chloride, polyester yarn, purified terephthalic acid, ethylene glycols and oxide, paraxylene, ortho xylene, benzene, linear alkyl benzene and paraffin, poly butadiene rubber, styrene butadiene rubber, butyl rubber, and polyethylene terephthalate. In addition, the company manufactures and markets yarns, fabrics, apparel, and auto furnishings; explores, develops, and produces crude oil and natural gas; and operates various stores comprising neighborhood, supermarket, hypermarket, wholesale cash and carry, specialty, online, pharmacy, and grocery stores, as well as stores that offer apparel, beauty and cosmetics, accessories, footwear, consumer electronics, connectivity products, and others. As of March 31, 2021, it operated 12,711 retail stores. Further, it provides range of digital services under the Jio brand name; and non-banking financial and insurance broking services. Further, it operates news and entertainment platforms, finance portals, fashion and lifestyle portals, and online ticket booking platforms, as well as Network18 and television channels; publishes magazines; and offers highway hospitality and fleet management services. The company was incorporated in 1973 and is based in Mumbai, India.","State Bank of India provides various banking products and services to individuals, commercial enterprises, corporates, public bodies, and institutional customers in India and internationally. The company operates through Treasury, Corporate/Wholesale Banking, Retail Banking, Insurance Business, and Other Banking Business segments. It offers personal banking products and services, including current accounts, savings accounts, salary accounts, fixed and recurring deposits, and flexi and annual deposits; home, personal, auto, education, and gold loans, as well as loans against property and securities; overdrafts; mutual funds, insurance, equity trading, portfolio investment schemes, remittance services; and mobile and digital banking services. The company also provides corporate banking products and services comprising corporate accounts, working capital and project finance, deferred payment guarantees, corporate term loans, structured finance, dealer and channel financing, equipment leasing, loan syndication, construction equipment loans, financing Indian firms' overseas subsidiaries or JVs, cash management, and asset backed loans, as well as trade and service products. In addition, it offers NRI services, including accounts and deposits, remittances, investments, and loans; agricultural banking and micro credit to agriculturists and farmers; supply chain finance, and deposits and transaction banking services for SME customers; and international banking services. Further, the company provides treasury, broking, bill payment, and MICR services; and merchant banking, advisory, securities broking, business & management consultancy, trustee business, factoring, payment, asset management, investment management, credit cards, and custody and fund accounting services. As of March 31, 2022, it operated 22,266 branches and 65,030 ATMs. The company was founded in 1806 and is headquartered in Mumbai, India.","Tata Motors Limited designs, develops, manufactures, and sells various automotive vehicles. The company offers passenger cars; utility vehicles; intermediate and light commercial vehicles; small, medium, and heavy commercial vehicles; defense vehicles; pickups, wingers, buses, and trucks; and electric vehicles, as well as related spare parts and accessories. It also manufactures engines for industrial and marine applications; aggregates comprising axles and transmissions for commercial vehicles; and factory automation equipment, as well as provides information technology and vehicle financing services. The company offers its products under the Tata, Daewoo, Fiat, Jaguar, and Land Rover brands. It operates in India, China, the United States, the United Kingdom, rest of Europe, and internationally. The company was formerly known as Tata Engineering and Locomotive Company Limited and changed its name to Tata Motors Limited in July 2003. Tata Motors Limited was incorporated in 1945 and is headquartered in Mumbai, India."
Mumbai,Mumbai,Mumbai,Mumbai,Mumbai
91 22 6631 6000,91 22 6778 9595,91 22 3555 5000,91 22 2274 0841,91 22 6757 7200
India,India,India,India,India
[],[],[],[],[]
https://www.hdfc.com,https://www.tcs.com,https://www.ril.com,https://www.sbi.co.in,https://www.tatamotors.com
